time_tag_seconds,record_tine,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,data_type_id,data_validity,format_id
1812103215,2007-06-04 10:00:15,-382767.192003249,-382767,-192003249,63,0,11,0,2
1812103225,2007-06-04 10:00:25,-382755.632497786,-382755,-632497786,63,0,11,0,2
1812103235,2007-06-04 10:00:35,-382744.255388259,-382744,-255388259,63,0,11,0,2
1812103245,2007-06-04 10:00:45,-382732.916846274,-382732,-916846274,63,0,11,0,2
1812103255,2007-06-04 10:00:55,-382721.600548743,-382721,-600548743,63,0,11,0,2
1812103265,2007-06-04 10:01:05,-382710.385535239,-382710,-385535239,63,0,11,0,2
1812103275,2007-06-04 10:01:15,-382699.167897223,-382699,-167897223,63,0,11,0,2
1812103285,2007-06-04 10:01:25,-382687.990623473,-382687,-990623473,63,0,11,0,2
1812103295,2007-06-04 10:01:35,-382676.92241001,-382676,-922410010,63,0,11,0,2
1812103305,2007-06-04 10:01:45,-382665.921494483,-382665,-921494483,63,0,11,0,2
1812103315,2007-06-04 10:01:55,-382654.900258063,-382654,-900258063,63,0,11,0,2
1812103325,2007-06-04 10:02:05,-382644.069802283,-382644,-69802283,63,0,11,0,2
1812103335,2007-06-04 10:02:15,-382633.14335823,-382633,-143358230,63,0,11,0,2
1812103345,2007-06-04 10:02:25,-382622.266936301,-382622,-266936301,63,0,11,0,2
1812103355,2007-06-04 10:02:35,-382611.42801094,-382611,-428010940,63,0,11,0,2
1812103365,2007-06-04 10:02:45,-382600.675416945,-382600,-675416945,63,0,11,0,2
1812103375,2007-06-04 10:02:55,-382589.982161521,-382589,-982161521,63,0,11,0,2
1812103385,2007-06-04 10:03:05,-382579.280730246,-382579,-280730246,63,0,11,0,2
1812103395,2007-06-04 10:03:15,-382568.713732718,-382568,-713732718,63,0,11,0,2
1812103405,2007-06-04 10:03:25,-382558.121145247,-382558,-121145247,63,0,11,0,2
1812103415,2007-06-04 10:03:35,-382547.604871749,-382547,-604871749,63,0,11,0,2
1812103425,2007-06-04 10:03:45,-382537.048638343,-382537,-48638343,63,0,11,0,2
1812103435,2007-06-04 10:03:55,-382526.649223327,-382526,-649223327,63,0,11,0,2
1812103445,2007-06-04 10:04:05,-382516.181986808,-382516,-181986808,63,0,11,0,2
1812103455,2007-06-04 10:04:15,-382505.685975074,-382505,-685975074,63,0,11,0,2
1812103465,2007-06-04 10:04:25,-382495.332446097,-382495,-332446097,63,0,11,0,2
1812103475,2007-06-04 10:04:35,-382485.026935576,-382485,-26935576,63,0,11,0,2
1812103485,2007-06-04 10:04:45,-382474.688505172,-382474,-688505172,63,0,11,0,2
1812103495,2007-06-04 10:04:55,-382464.383872985,-382464,-383872985,63,0,11,0,2
1812103505,2007-06-04 10:05:05,-382454.101468085,-382454,-101468085,63,0,11,0,2
1812103515,2007-06-04 10:05:15,-382443.90591812,-382443,-905918120,63,0,11,0,2
1812103525,2007-06-04 10:05:25,-382433.673580169,-382433,-673580169,63,0,11,0,2
1812103535,2007-06-04 10:05:35,-382423.556015967,-382423,-556015967,63,0,11,0,2
1812103545,2007-06-04 10:05:45,-382413.361440658,-382413,-361440658,63,0,11,0,2
1812103555,2007-06-04 10:05:55,-382403.225201606,-382403,-225201606,63,0,11,0,2
1812103565,2007-06-04 10:06:05,-382393.144200324,-382393,-144200324,63,0,11,0,2
1812103575,2007-06-04 10:06:15,-382383.087448119,-382383,-87448119,63,0,11,0,2
1812103585,2007-06-04 10:06:25,-382373.092608451,-382373,-92608451,63,0,11,0,2
1812103595,2007-06-04 10:06:35,-382363.07729721,-382363,-77297210,63,0,11,0,2
1812103605,2007-06-04 10:06:45,-382353.068417548,-382353,-68417548,63,0,11,0,2
1812103615,2007-06-04 10:06:55,-382343.100736617,-382343,-100736617,63,0,11,0,2
1812103625,2007-06-04 10:07:05,-382333.103357314,-382333,-103357314,63,0,11,0,2
1812103635,2007-06-04 10:07:15,-382323.102549552,-382323,-102549552,63,0,11,0,2
